method name: freqs			
corpus: parlamint51_si			
subcorpus: -			
concordance size: 869			
"query: Query:([lemma=""""naš""""][]{1,3}[lemma=""""vaš""""])|([lemma=""""vaš""""][]{1,3}[lemma=""""naš""""])within<s/>"			
speech.subcorpus	Frequency	Relative density	Relative in text types
Referenčni	732	95.82904	10.19491
COVID	133	133.83529	14.23825
COVID,Vojna	4	69.39813	7.38302
Parliamentary body	Frequency	Relative density	Relative in text types
Spodnji dom	869	100	10.63864
speech.date	Frequency	Relative density	Relative in text types
2002-03-28	1	219.47043	23.34867
2009-07-13	1	120.01812	12.76829
2003-05-26	1	734.46625	78.13721
2012-04-18	1	270.99403	28.83008
2017-03-24	1	200.8354	21.36615
2021-05-14	1	222.57818	23.67929
2011-03-29	1	114.35018	12.1653
2016-01-28	1	141.72395	15.0775
2017-04-26	1	167.66016	17.83676
2017-09-18	1	173.60235	18.46893
2006-03-02	1	154.18695	16.40339
2017-09-19	1	158.49491	16.8617
2010-03-05	1	117.85127	12.53777
2003-01-28	1	225.0293	23.94005
2016-09-20	1	91.94029	9.78119
2012-10-25	1	120.96491	12.86902
2005-12-14	1	269.42499	28.66315
2003-11-25	1	96.73956	10.29177
2021-11-15	1	213.48882	22.7123
2020-11-16	1	111.8426	11.89853
2022-03-23	1	158.51897	16.86426
2014-05-22	1	200.01913	21.27931
2017-07-10	1	148.72471	15.82228
2010-02-02	1	149.71727	15.92788
2020-06-15	1	171.58372	18.25417
2017-12-15	1	142.01301	15.10825
2016-05-18	1	94.00451	10.0008
2021-03-01	1	165.34211	17.59015
2021-07-07	1	199.81929	21.25805
2010-01-25	1	177.69815	18.90466
2021-03-03	1	99.28281	10.56234
2014-06-12	1	172.50319	18.35199
2021-05-26	1	101.63265	10.81233
2016-11-18	1	129.96114	13.8261
2015-01-30	1	124.93785	13.29169
2020-03-19	1	125.54526	13.35631
2010-03-18	1	219.57809	23.36012
2015-09-24	1	98.51282	10.48042
2005-07-11	1	231.20078	24.59662
2020-09-29	1	93.00647	9.89462
2014-04-01	1	201.30422	21.41603
2021-10-20	1	107.24007	11.40888
2005-05-16	1	242.34148	25.78183
2003-11-18	1	116.97424	12.44447
2022-01-31	1	128.78241	13.70069
2021-11-22	1	120.38241	12.80705
2006-02-27	1	262.50277	27.92672
2016-04-20	1	130.75477	13.91053
2019-11-22	1	133.82641	14.23731
2013-01-30	1	151.90205	16.16031
2016-05-17	1	90.59951	9.63855
2020-03-05	1	110.65239	11.77191
2013-01-31	1	122.65383	13.0487
2019-06-21	1	102.66275	10.92192
2013-10-08	1	1387.40946	147.60148
2020-01-27	1	136.11705	14.481
2017-11-21	1	187.08475	19.90327
2005-12-12	1	214.04789	22.77178
2016-11-16	1	82.27812	8.75327
2022-03-17	1	178.03135	18.94011
2007-01-31	1	118.37219	12.59319
2020-11-17	1	96.8512	10.30365
2021-11-23	1	154.54948	16.44196
2022-01-13	1	437.70426	46.56577
2021-11-19	1	81.57549	8.67852
2020-11-27	1	395.61023	42.08754
2006-11-29	1	105.3046	11.20298
2020-09-21	1	130.33054	13.86539
2013-09-23	1	157.16983	16.72073
2006-03-03	1	265.98656	28.29735
2020-12-15	1	95.20707	10.12874
2002-02-19	1	293.20001	31.19249
2021-03-15	1	74.16404	7.89004
2019-09-24	1	128.64493	13.68607
2005-06-15	1	400.61796	42.6203
2017-09-22	1	167.57945	17.82817
2012-01-11	1	285.9398	30.4201
2007-07-11	1	98.13741	10.44048
2017-09-13	1	78.47142	8.34829
2008-02-28	1	130.88222	13.92409
2018-03-23	1	168.39002	17.9144
2003-01-27	1	367.00371	39.0442
2011-03-04	1	249.12404	26.50341
2021-10-25	1	107.70949	11.45882
2004-05-18	1	144.55071	15.37823
2021-10-26	1	119.68041	12.73237
2014-02-07	1	138.29188	14.71237
2020-12-29	1	115.19945	12.25565
2003-05-29	1	229.19387	24.38311
2021-10-18	1	164.73937	17.52603
2021-06-15	1	246.70479	26.24603
2021-03-23	1	142.086	15.11602
2021-07-05	1	146.09871	15.54291
2010-05-18	1	114.34044	12.16427
2020-06-16	1	209.09129	22.24447
2020-04-28	1	113.83916	12.11094
2014-11-21	1	147.94288	15.73911
2015-06-05	1	173.41658	18.44916
2018-12-14	1	125.92537	13.39674
2009-03-26	1	173.66008	18.47507
2018-03-07	1	159.43313	16.96151
2008-01-22	1	172.50003	18.35165
2020-04-02	1	136.60963	14.53341
2018-04-26	1	222.2624	23.64569
2009-11-17	1	154.77087	16.46551
2010-04-21	1	89.59262	9.53143
2019-12-18	1	241.02411	25.64168
2019-11-21	1	106.60398	11.34121
2022-02-04	1	138.09683	14.69162
2019-10-29	1	160.65116	17.0911
2019-10-24	1	137.28802	14.60558
2017-12-13	1	101.2146	10.76786
2004-07-05	1	147.3284	15.67374
2019-10-17	1	136.06188	14.47513
2019-09-25	1	161.75978	17.20904
2020-10-19	1	138.47116	14.73145
2015-07-14	1	79.65307	8.474
2019-05-28	1	237.02497	25.21623
2019-06-17	1	131.29722	13.96824
2019-03-20	1	253.73732	26.9942
2015-01-27	1	109.43881	11.6428
2013-11-21	1	198.33936	21.10061
2016-03-30	1	105.10325	11.18155
2009-03-24	1	530.69665	56.4589
2019-01-30	1	123.6949	13.15945
2015-04-24	1	225.46652	23.98657
2013-01-28	1	160.80781	17.10776
2018-08-23	1	342.03111	36.38745
2019-10-21	1	120.20998	12.78871
2017-10-24	1	114.49783	12.18101
2019-03-04	1	203.82287	21.68398
2002-02-21	1	253.21101	26.9382
2018-02-16	1	154.65882	16.45359
2018-11-28	1	122.46686	13.02881
2017-09-26	1	135.76121	14.44314
2018-03-19	1	181.27939	19.28566
2021-03-24	1	102.60896	10.9162
2021-10-08	1	156.46867	16.64614
2018-02-15	1	191.54133	20.37739
2018-02-14	1	208.34513	22.16509
2004-05-07	1	116.15465	12.35727
2018-01-09	1	139.0159	14.7894
2012-12-21	1	419.49833	44.62891
2012-12-06	1	367.8511	39.13435
2012-11-19	1	133.10439	14.1605
2006-01-11	1	308.06565	32.77399
2012-07-18	1	159.26564	16.9437
2009-01-26	1	214.96327	22.86917
2012-06-16	1	155.66539	16.56068
2012-04-21	1	271.83259	28.91929
2012-01-26	1	699.07029	74.37156
2004-07-06	1	310.46701	33.02946
2011-06-15	1	136.09931	14.47911
2011-05-20	1	133.76166	14.23042
2008-04-01	1	111.78274	11.89216
2006-12-13	1	242.24156	25.7712
2011-05-16	1	195.17242	20.76369
2008-03-05	1	144.31103	15.35273
2011-05-04	1	200.85256	21.36798
2011-02-28	1	171.55866	18.25151
2009-03-27	1	221.98945	23.61665
2010-05-21	1	168.13099	17.88685
2010-10-29	1	183.74578	19.54805
2010-10-22	1	182.84151	19.45185
2010-10-21	1	143.40177	15.256
2005-03-22	1	165.05468	17.55957
2010-10-18	1	183.1693	19.48672
2010-09-29	1	182.30957	19.39526
2010-09-24	1	108.36762	11.52884
2010-09-23	1	93.40759	9.9373
2010-07-09	1	151.89469	16.15953
2005-07-15	1	169.47999	18.03036
2010-06-16	1	112.92422	12.0136
2010-05-03	1	151.49565	16.11707
2010-04-07	1	273.97182	29.14687
2003-03-26	1	213.52761	22.71643
2010-03-02	1	85.00361	9.04323
2010-02-12	1	119.46138	12.70906
2009-12-17	1	88.02535	9.3647
2009-12-15	1	116.54639	12.39895
2009-12-14	1	181.52445	19.31173
2009-11-20	1	182.38739	19.40354
2009-11-19	1	125.83602	13.38724
2009-11-16	1	191.6624	20.39027
2005-04-20	1	144.26452	15.34778
2005-03-29	1	287.61969	30.59882
2001-02-22	1	237.88275	25.30749
2009-09-25	1	155.37977	16.53029
2006-03-29	1	114.77885	12.21091
2009-06-18	1	112.16022	11.93232
2009-05-19	1	134.34091	14.29204
2002-01-23	1	233.05809	24.79421
2009-01-29	1	136.54018	14.52602
2009-01-14	1	153.09954	16.28771
2008-12-22	1	142.55576	15.16599
2008-06-19	1	91.49728	9.73407
2008-06-16	1	256.36009	27.27322
2005-11-21	1	272.20257	28.95865
2005-09-26	1	204.0308	21.7061
2008-05-22	1	91.12562	9.69453
2008-05-20	1	173.61197	18.46995
2008-05-19	1	228.80335	24.34156
2006-07-13	1	122.95064	13.08027
2008-04-22	1	182.67095	19.4337
2008-03-27	1	131.63923	14.00462
2008-02-14	1	116.12021	12.35361
2008-02-06	1	114.01729	12.12989
2007-11-21	1	135.2864	14.39263
2007-10-25	1	109.96372	11.69864
