method name: freqs			
corpus: janes			
subcorpus: -			
concordance size: 2499			
"query: Query:([lemma=""""naš""""][]{1,3}[lemma=""""vaš""""])|([lemma=""""vaš""""][]{1,3}[lemma=""""naš""""])within<s/>"			
group.type	Frequency	Relative density	Relative in text types
GREMO PO VRSTI, KAKO REŠITI DRŽAVO PRED...	1	3956.30086	390.93041
Zakaj Cerkvi NE - hrvaški protest v Piranskem zalivu	1	8038.29834	794.28118
Biti Elza. Danes. Leta 2014.	1	3505.44427	346.38033
»Vklopi razum, spodi politike, ki žrejo na tvoj račun«	1	8302.06531	820.34454
Patetika postafriškega slavljenja	1	1747.57686	172.68175
A ti me-me- mene,ja pa za-za-zajebavaš?	1	4098.91357	405.02228
JUTRO POD LIPO	1	6567.30539	648.92927
Merkur Naklo – vzorčen primer dovoljenega izživljanja nad d…	1	2891.49074	285.71429
Je vaš ljubljenček že zaščiten proti zunanjim parazitom?	1	177547.67732	17543.85965
Verniki potencialni morilci?	1	913.29461	90.24456
Grenak priokus osamosvojitve	1	2077.64681	205.29665
Vam, ženskam, mamam ... in mamam po srcu	1	26562.25094	2624.67192
Katalonci v pričakovanju škotskega referenduma zahtevajo sa…	1	5002.57914	494.31537
V Kopru obeležili 25. let Policijskega sindikata Slovenije	1	35887.29648	3546.09929
O spravi - ob obletnici konca 2. svet. vojne na naših tleh	1	7228.72686	714.28571
GRADNJA LESENE HIŠE	1	7546.76928	745.71216
V LENARTU JE TREBA OŽIVITI POSLOVNO-INDUSTRIJSKO CONO!	1	15150.02636	1497.00599
24 ur po primopredaji je Andrej Baričič že spet &#34;odsoten&#34;, …	1	8963.87742	885.73959
Zakaj postati komunist?	1	392.28691	38.76269
V protest bodeča žica tudi v Ljubljani	1	56223.43115	5555.55556
PREDSEDNIK CIPRA: &#34;HVALA, GOSPOD TUPAMAROSS!&#34;	1	5090.65272	503.01811
8.2. - Praznik Franceta Prešerna - največjega slovenskega k…	1	27802.79562	2747.25275
Kadrovanje!	1	13281.12547	1312.33596
Podajmo slovensko strankarstvo, ki je slovenski narod povse…	1	9242.20786	913.24201
Žerjav: &#34;Ulica&#34; se bo skoraj gotovo zgodila po vsej Sloveni…	1	1674.14683	165.42597
Poziv medijem, pravniku in kandidatu Miru Cerarju in vsem a…	1	13620.75048	1345.89502
Hvala, Aleš Primc	1	11864.26449	1172.33294
Znosili so jih na senik in zažgali	1	3418.99243	337.83784
Utopična jugonostalgija	1	1653.36017	163.372
Od kje heteroseksualcem ideja, da imajo samo oni pravico do…	1	7943.65589	784.92936
ŽIVI SMO IN NE BOSTE NAS OMRTVILI	1	6356.92061	628.1407
Zahtevamo odstop dr.Anje Kopač Mrak, ministrice za delo dru…	1	24269.10697	2398.08153
