method name: freqs			
corpus: siparl40			
subcorpus: -			
concordance size: 1922			
"query: Query:([lemma=""""naš""""][]{1,3}[lemma=""""vaš""""])|([lemma=""""vaš""""][]{1,3}[lemma=""""naš""""])within<s/>"			
Legislative period (in Slovene)	Frequency	Relative density	Relative in text types
SDZ8-Redna-14-2019-12-19.ana	3	359.27362	25.2917
Izredna-02-2008-11-21.ana	3	604.50232	42.555
SDZ8-Redna-18-2020-06-17.ana	3	476.59927	33.55104
OZZDDISP-Redna-066-2000-08-24.ana	3	1258.4709	88.59227
SDZ8-Redna-20-2020-09-22.ana	3	426.24978	30.0066
Redna-31-2007-10-01.ana	3	693.31989	48.80747
SDZ8-Redna-24-2021-07-06.ana	3	455.93298	32.0962
Redna-24-2016-11-23.ana	3	331.95149	23.36831
SDZ8-Redna-17-2020-05-25.ana	3	511.26654	35.99151
KZOSSVZIPS-nujna-5-2013-03-19.ana	3	2702.49224	190.24669
Redna-09-2012-12-18.ana	3	395.16334	27.81822
SDZ8-Redna-28-2021-12-20.ana	3	310.01055	21.82374
SDZ8-Izredna-49-2020-11-25.ana	3	502.18713	35.35235
SDZ8-Redna-28-2021-12-17.ana	3	369.45885	26.0087
Izredna-10-2015-03-13.ana	3	713.38702	50.22013
KZNJF-026-Redna-2022-03-24.ana	3	2123.34829	149.47683
SDZ8-Redna-21-2020-10-27.ana	3	485.53167	34.17985
Redna-20-2006-09-26.ana	3	517.0102	36.39584
Skupna-026-Nujna-2020-12-03.ana	3	738.95613	52.02011
SDZ8-Izredna-75-2021-05-28.ana	3	861.18218	60.62443
OZNZJUILS-025-Nujna-2020-06-01.ana	3	761.31914	53.5944
Redna-19-2006-07-11.ana	3	449.40365	31.63656
OZZEU-017-Nujna-2020-09-01.ana	3	1347.48625	94.85866
SDZ8-Izredna-57-2021-02-02.ana	3	501.3895	35.29619
Izredna-45-2017-07-04.ana	3	1034.33412	72.81377
OZZP-070-Redna-2020-11-11.ana	3	2936.17198	206.69698
OZZ-009-Nujna-2019-03-21.ana	3	1671.4622	117.66552
Izredna-14-2006-01-10.ana	3	745.31463	52.46773
Redna-36-2017-12-11.ana	3	1019.14624	71.74459
KZNJF-nujna-34-2017-11-29.ana	3	4453.97159	313.54515
OZG-javna-1-2013-01-10.ana	3	1365.49073	96.12612
Redna-27-2011-05-03.ana	3	986.56357	69.45088
Skupna-022-Nujna-2020-12-03.ana	3	738.68715	52.00118
Redna-22-2016-09-22.ana	3	517.73882	36.44713
Izredna-36-2016-11-07.ana	3	463.45989	32.62607
OZZ-nujna-19-2016-02-26.ana	3	1139.3327	80.20533
Redna-08-2015-05-19.ana	3	475.91267	33.50271
Redna-03-2014-12-16.ana	3	638.66559	44.95999
OZDDSZII-Redna-011-2009-11-26.ana	3	1833.87556	129.09889
OZZDDSPII-Redna-034-2003-06-04.ana	2	898.83574	63.27512
Skupna-2003-07-15.ana	2	3950.2781	278.08676
Redna-29-2003-10-02.ana	2	381.19415	26.83483
KZOSSVZIPS-Redna-020-2003-10-15.ana	2	2700.86511	190.13214
OZKSIS-Redna-001-2005-01-14.ana	2	1202.14954	84.62743
Redna-21-2014-01-31.ana	2	304.61364	21.44381
SDZ8-Redna-06-2019-03-27.ana	2	429.51697	30.2366
OZO-Redna-001-1997-01-30.ana	2	1952.47063	137.4476
Redna-16-2006-04-20.ana	2	622.73465	43.8385
Izredna-18-2006-05-29.ana	2	421.61938	29.68064
KZOSSVZIPS-Redna-001-2001-04-11.ana	2	1466.49461	103.23646
Izredna-23-2006-11-17.ana	2	537.465	37.83579
OZLSIRR-Nujna-016-2007-03-02.ana	2	1353.26284	95.26531
Redna-25-2007-03-06.ana	2	381.82429	26.87919
OZDDSZII-Nujna-016-2007-10-09.ana	2	1496.93873	105.37963
Skupna-016-Nujna-2020-04-14.ana	2	673.58339	47.41809
Redna-33-2007-11-19.ana	2	425.21627	29.93385
Izredna-30-2007-11-27.ana	2	401.2655	28.24779
Izredna-31-2007-11-28.ana	2	321.341	22.62136
Izredna-30-2007-11-28.ana	2	321.341	22.62136
Redna-38-2008-04-23.ana	2	384.23067	27.04859
OZO-nujna-11-2012-10-26.ana	2	1380.21765	97.16284
KZNJF-Nujna-016-2008-04-24.ana	2	3462.14966	243.7241
OZOIP-Redna-027-2008-05-06.ana	2	871.56487	61.35534
Skupna-022-Nujna-2020-04-22.ana	2	553.08661	38.9355
Redna-17-1999-12-15.ana	2	653.87926	46.03098
OZKSSIM-Nujna-001-2008-11-17.ana	2	516.38373	36.35174
OZDDSZII-011-Nujna-2019-02-07.ana	2	1064.81766	74.95971
Redna-04-2009-03-30.ana	2	714.69109	50.31193
OZOIP-Redna-014-2010-02-17.ana	2	2963.12058	208.59408
OZP-Nujna-004-2009-04-15.ana	2	1051.06919	73.99186
Redna-05-2009-05-15.ana	2	387.34764	27.26802
KZPTZCPIEM-Nujna-008-2007-10-03.ana	2	553.90615	38.9932
Redna-06-2009-05-26.ana	2	267.40458	18.82442
