method name: freqs			
corpus: siparl40			
subcorpus: -			
concordance size: 1922			
"query: Query:([lemma=""""naš""""][]{1,3}[lemma=""""vaš""""])|([lemma=""""vaš""""][]{1,3}[lemma=""""naš""""])within<s/>"			
Legislative period (in Slovene)	Frequency	Relative density	Relative in text types
Mandatno-volilna komisija: 10. redna seja (24. 1. 2013)	1	799.63355	57.72672
11. redna seja (16. 11. 2009)	1	282.44708	20.39027
Odbor za kulturo: 20. redna seja (9. 3. 2022)	1	680.08896	49.09662
Komisija za peticije ter za človekove pravice in enake možnosti: 11. nujna seja (20. 12. 2007)	1	1217.44173	87.88891
Skupna seja: 20. nujna seja (24. 4. 2020)	1	274.91321	19.84639
29. redna seja (4. 2. 2022)	1	203.50912	14.69162
Odbor za finance in monetarno politiko: 19. nujna seja (18. 3. 2010)	1	4123.86186	297.70765
Odbor za infrastrukturo, okolje in prostor: 49. nujna seja (13. 3. 2017)	1	288.09226	20.7978
14. redna seja (28. 3. 2002)	1	323.42693	23.34867
63. izredna seja (1. 3. 2021)	1	243.65967	17.59015
9. redna seja (17. 6. 2019)	1	193.48873	13.96824
Odbor za finance: 40. redna seja (1. 12. 2021)	1	253.4221	18.29491
Odbor za zadeve Evropske unije: 25. redna seja (3. 7. 2009)	1	1392.30596	100.51261
Komisija za peticije ter za človekove pravice in enake možnosti: 5. nujna seja (9. 12. 2009)	1	3961.12439	285.95939
Odbor za obrambo: 6. redna seja (11. 9. 2019)	1	396.18041	28.60085
Odbor za infrastrukturo, okolje in prostor: 11. nujna seja (15. 4. 2015)	1	556.44139	40.17032
Skupna seja: 47. redna seja (14. 6. 2019)	1	1322.26537	95.45628
Komisija za odnose s Slovenci v zamejstvu in po svetu: 17. redna seja (15. 7. 1998)	1	2703.89459	195.19813
18. redna seja (16. 6. 2020)	1	308.13151	22.24447
Odbor za finance in monetarno politiko: 34. nujna seja (20. 7. 2015)	1	730.94043	52.76766
11. redna seja (19. 11. 2009)	1	185.44073	13.38724
Komisija za poslovnik: 12. nujna seja (18. 6. 2021)	1	467.40626	33.74275
Odbor za infrastrukturo, okolje in prostor: 34. redna seja (30. 11. 2021)	1	579.34136	41.8235
Odbor za zunanjo politiko: 41. redna seja (19. 12. 2001)	1	4769.99036	344.35262
Odbor za pravosodje: 26. redna seja (5. 5. 2021)	1	372.377	26.88244
23. redna seja (18. 10. 2016)	1	122.64748	8.8541
Odbor za kmetijstvo, gozdarstvo, prehrano in okolje: 41. nujna seja (14. 5. 2014)	1	621.83749	44.89136
25. redna seja (21. 9. 2021)	1	204.94233	14.79509
Komisija za nadzor javnih financ: 26. nujna seja (2. 6. 2021)	1	344.87868	24.8973
Odbor za zdravstvo: 10. nujna seja (17. 2. 2010)	1	495.37074	35.76154
Odbor za notranjo politiko in pravosodje: 31. redna seja (10. 11. 1999)	1	906.01426	65.4065
Odbor za zunanjo politiko: 10. redna seja (18. 1. 2006)	1	380.43591	27.46423
27. redna seja (22. 11. 2021)	1	177.40391	12.80705
Odbor za delo, družino, socialne zadeve in invalide: 24. redna seja (9. 6. 2016)	1	680.52331	49.12798
Pododbor za spremljanje romske tematike: 7. redna seja (22. 1. 2020)	1	735.95006	53.12932
6. redna seja (25. 3. 2015)	1	233.3606	16.84664
Pododbor za spremljanje rakavih obolenj v Republiki Sloveniji: 3. redna seja (16. 10. 2020)	1	1435.4458	103.62694
63. izredna seja (3. 3. 2021)	1	146.31007	10.56234
75. izredna seja (26. 5. 2021)	1	149.77296	10.81233
Odbor za izobraževanje, znanost, šport in mladino: 9. redna seja (9. 10. 2019)	1	281.54005	20.32479
Komisija za nadzor proračuna in drugih javnih financ: 36. redna seja (14. 3. 2007)	1	541.32838	39.07929
Odbor za zunanjo politiko: 84. nujna seja (21. 3. 2008)	1	433.37772	31.28617
2. redna seja (31. 1. 2001)	1	400.9393	28.9444
73. izredna seja (14. 5. 2021)	1	328.00673	23.67929
Odbor za pravosodje: 11. redna seja (8. 7. 2015)	1	1157.13407	83.53521
Odbor za delo, družino, socialne zadeve in invalide: 12. nujna seja (15. 5. 2015)	1	895.81918	64.6705
Odbor za notranje zadeve, javno upravo in lokalno samoupravo: 25. nujna seja (11. 11. 2015)	1	667.56877	48.19277
Odbor za delo, družino, socialne zadeve in invalide: 47. nujna seja (29. 1. 2021)	1	307.06595	22.16754
Mandatno-volilna komisija: 29. redna seja (20. 1. 2017)	1	805.91413	58.18013
5. izredna seja (14. 1. 2009)	1	225.61815	16.28771
Komisija za peticije ter za človekove pravice in enake možnosti: 2. nujna seja (24. 9. 2014)	1	399.94376	28.87253
45. izredna seja (14. 6. 1996)	1	1160.33272	83.76612
35. redna seja (29. 3. 2004)	1	145.59804	10.51094
Odbor za finance: 57. nujna seja (22. 4. 2021)	1	401.46221	28.98215
Odbor za finance in monetarno politiko: 13. redna seja (14. 1. 2010)	1	440.23683	31.78134
Zbor združenega dela: 11. seja	1	110.46734	7.9748
Odbor za notranje zadeve, javno upravo in lokalno samoupravo: 30. nujna seja (26. 10. 2020)	1	312.14485	22.5342
Odbor za delo, družino, socialne zadeve in invalide: 29. redna seja (29. 9. 2016)	1	307.63879	22.2089
Komisija za poslovnik: 10. nujna seja (17. 3. 2021)	1	407.05413	29.38584
Odbor za obrambo: 1. nujna seja (15. 9. 2014)	1	529.89756	38.25408
Odbor za infrastrukturo, okolje in prostor: 36. nujna seja (17. 12. 2020)	1	853.01139	61.58015
4. redna seja (26. 3. 2009)	1	255.9176	18.47507
Odbor za izobraževanje, znanost, šport in mladino: 16. redna seja (11. 3. 2021)	1	305.62289	22.06337
53. izredna seja (15. 12. 2020)	1	140.30378	10.12874
24. redna seja (16. 11. 2016)	1	121.25077	8.75327
34. redna seja (26. 2. 2004)	1	175.22931	12.65006
16. redna seja (21. 12. 1993)	1	318.70173	23.00755
48. izredna seja (17. 11. 2020)	1	142.72668	10.30365
Komisija za volitve imenovanja in administrativne zadeve: 3. redna seja (21. 12. 2000)	1	866.40305	62.54691
29. izredna seja (29. 10. 2010)	1	270.78059	19.54805
Odbor za pravosodje: 24. redna seja (11. 3. 2021)	1	955.90725	69.00835
Odbor za zadeve Evropske unije: 91. redna seja (4. 12. 2020)	1	468.44951	33.81806
65. izredna seja (15. 3. 2021)	1	109.2933	7.89004
Komisija za poslovnik: 8. nujna seja (3. 2. 2021)	1	269.87321	19.48254
Odbor za delo, družino, socialne zadeve in invalide: 30. nujna seja (7. 4. 2016)	1	955.44572	68.97503
Odbor za notranje zadeve, javno upravo in lokalno samoupravo: 16. redna seja (11. 2. 2016)	1	224.64851	16.21771
6. redna seja (30. 3. 2015)	1	265.66525	19.17877
Mandatno-volilna komisija: 15. redna seja (17. 10. 2019)	1	2688.15292	194.06171
Družbeno-politični zbor: 30. seja	1	52.65358	3.80114
Mandatno-volilna komisija: 26. redna seja (21. 1. 2021)	1	1286.1701	92.85051
Komisija za poslovnik: 2. nujna seja (14. 2. 2019)	1	725.65624	52.38619
Odbor za finance: 14. redna seja (10. 10. 2019)	1	619.36293	44.71272
Komisija za narodni skupnosti: 3. redna seja (10. 9. 2015)	1	615.72885	44.45037
Odbor za kulturo: 30. nujna seja (4. 12. 2020)	1	248.20907	17.91858
Odbor za notranjo politiko: 16. redna seja (11. 1. 2002)	1	591.41201	42.6949
Odbor za finance in monetarno politiko: 5. redna seja (13. 6. 2005)	1	126.36197	9.12226
17. redna seja (25. 5. 2006)	1	218.14255	15.74803
Skupna seja: 28. redna seja (25. 1. 2019)	1	427.96836	30.89567
2. redna seja (28. 11. 2018)	1	180.47571	13.02881
6. redna seja (16. 5. 2005)	1	357.13131	25.78183
15. redna seja (28. 1. 2016)	1	208.85429	15.0775
Odbor za finance in monetarno politiko: 40. redna seja (29. 6. 2017)	1	1259.50646	90.92562
Odbor za zdravstvo: 29. redna seja (9. 4. 2008)	1	532.79172	38.46302
Odbor za infrastrukturo, okolje in prostor: 6. redna seja (13. 2. 2015)	1	930.66729	67.18624
62. izredna seja (26. 4. 2018)	1	327.54137	23.64569
Odbor za kulturo: 26. nujna seja (10. 11. 2020)	1	362.23985	26.15063
Odbor za gospodarstvo: 29. nujna seja (8. 3. 2016)	1	474.54786	34.25831
Odbor za kulturo: 27. nujna seja (2. 11. 2020)	1	440.29281	31.78539
Odbor za zdravstvo: 15. nujna seja (5. 12. 2013)	1	772.04615	55.73515
21. redna seja (19. 10. 2020)	1	204.06075	14.73145
Odbor za zunanjo politiko: 1. nujna seja (3. 2. 2012)	1	875.54845	63.20713
19. redna seja (24. 10. 2002)	1	219.91224	15.87579
Odbor za notranje zadeve, javno upravo in lokalno samoupravo: 52. nujna seja (3. 5. 2017)	1	547.36049	39.51476
67. izredna seja (23. 3. 2021)	1	209.38783	15.11602
Odbor za zunanjo politiko: 5. nujna seja (12. 12. 2018)	1	496.47152	35.84101
Komisija za poslovnik: 5. nujna seja (2. 12. 2015)	1	869.33927	62.75888
Odbor za finance in monetarno politiko: 19. nujna seja (8. 5. 2012)	1	193.65374	13.98015
21. redna seja (18. 10. 2010)	1	269.93106	19.48672
Odbor za pravosodje: 1. nujna seja (17. 9. 2018)	1	601.42636	43.41785
25. izredna seja (16. 6. 2010)	1	228.22018	16.47555
Odbor za notranje zadeve, javno upravo in lokalno samoupravo: 2. nujna seja (10. 9. 2018)	1	327.5801	23.64849
Odbor za obrambo: 1. nujna seja (6. 9. 2018)	1	265.65506	19.17803
Odbor za izobraževanje, znanost, šport in mladino: 1. nujna seja (4. 9. 2018)	1	412.87785	29.80626
Kolegij predsednika Državnega zbora: 30. redna seja (8. 5. 2015)	1	914.56834	66.02403
35. redna seja (6. 2. 2008)	1	168.02382	12.12989
12. redna seja (14. 12. 2009)	1	267.50709	19.31173
5. izredna seja (23. 8. 2018)	1	1181.9157	85.32423
37. redna seja (27. 3. 2008)	1	193.99275	14.00462
Odbor za znanost in tehnologijo: 17. redna seja (7. 5. 1998)	1	1409.59113	101.76046
Odbor za zdravstvo: 45. nujna seja (18. 5. 2018)	1	701.36972	50.63291
8. redna seja (1. 4. 1998)	1	371.91709	26.84924
Mandatno-volilna komisija: 20. nujna seja (15. 10. 2020)	1	2162.35592	156.10365
24. redna seja (26. 3. 2003)	1	314.66918	22.71643
Odbor za gospodarstvo: 8. nujna seja (13. 12. 2005)	1	351.53923	25.37813
Odbor za zunanjo politiko: 7. nujna seja (6. 2. 2009)	1	1605.84883	115.92859
19. izredna seja (22. 1. 1998)	1	402.41857	29.05119
39. redna seja (23. 3. 2018)	1	248.15127	17.9144
37. izredna seja (31. 5. 2013)	1	1095.5435	79.0889
28. redna seja (31. 1. 1995)	1	387.88228	28.00179
Komisija za poslovnik: 4. redna seja (3. 3. 2017)	1	567.2421	40.95004
39. redna seja (19. 3. 2018)	1	267.14595	19.28566
Kolegij predsednika Državnega zbora: 123. redna seja (16. 3. 2018)	1	3252.41888	234.7969
Odbor za zdravstvo: 65. nujna seja (20. 11. 2021)	1	143.53714	10.36216
Odbor za zadeve Evropske unije: 161. redna seja (16. 2. 2018)	1	945.33898	68.24541
38. redna seja (16. 2. 2018)	1	227.91602	16.45359
12. redna seja (15. 12. 2009)	1	171.75088	12.39895
38. redna seja (12. 2. 2018)	1	277.19627	20.01121
Odbor za finance in monetarno politiko: 77. nujna seja (10. 12. 2013)	1	545.82914	39.40421
Odbor za kmetijstvo, gozdarstvo in prehrano: 25. redna seja (18. 1. 2018)	1	345.13646	24.91591
Odbor za kulturo: 18. redna seja (27. 1. 2022)	1	842.63349	60.83095
2. redna seja (18. 4. 2012)	1	399.35571	28.83008
53. izredna seja (9. 1. 2018)	1	204.86352	14.7894
35. redna seja (21. 11. 2017)	1	275.70113	19.90327
Odbor za zdravstvo delo družino socialno politiko in invalide: 27. redna seja (16. 1. 2003)	1	664.84531	47.99616
24. redna seja (5. 7. 2021)	1	215.30125	15.54291
Odbor za gospodarstvo: 24. nujna seja (30. 5. 2008)	1	324.17627	23.40276
Odbor za kmetijstvo, gozdarstvo, prehrano in okolje: 17. redna seja (24. 1. 2013)	1	634.19339	45.78335
29. izredna seja (29. 9. 2010)	1	268.66409	19.39526
9. redna seja (12. 6. 1998)	1	467.94311	33.7815
Komisija za odnose s Slovenci v zamejstvu in po svetu: 3. srečanje (4. 7. 2013)	1	323.8428	23.37869
20. redna seja (21. 9. 2020)	1	192.06417	13.86539
Odbor za finance in monetarno politiko: 21. nujna seja (11. 6. 2012)	1	3607.30521	260.41667
Komisija za peticije ter za človekove pravice in enake možnosti: 18. redna seja (3. 10. 2017)	1	333.83265	24.09987
Odbor za izobraževanje, znanost, šport in mladino: 4. javna predstavitev mnenj (27. 2. 2014)	1	823.15498	59.42477
Odbor za delo, družino, socialne zadeve in invalide: 29. nujna seja (22. 3. 2016)	1	361.13492	26.07086
33. redna seja (22. 9. 2017)	1	246.95677	17.82817
33. redna seja (18. 9. 2017)	1	255.83252	18.46893
38. redna seja (22. 4. 2008)	1	269.19665	19.4337
Mandatno-volilna komisija: 5. nujna seja (11. 12. 2008)	1	2565.66994	185.21949
Odbor za zdravstvo delo družino socialno politiko in invalide: 8. redna seja (3. 7. 2001)	1	790.37156	57.05809
47. izredna seja (13. 9. 2017)	1	115.64096	8.34829
Komisija za peticije ter za človekove pravice in enake možnosti: 19. nujna seja (10. 6. 2016)	1	414.08741	29.89358
17. redna seja (21. 5. 2010)	1	247.76955	17.88685
Komisija za nadzor javnih financ: 4. nujna seja (27. 5. 2015)	1	423.73974	30.59039
Odbor za obrambo: 14. redna seja (24. 6. 2010)	1	821.78761	59.32606
Ustavna komisija: 3. redna seja (25. 5. 2016)	1	821.54392	59.30846
Odbor za zdravstvo: 34. nujna seja (12. 9. 2017)	1	519.46494	37.50094
Odbor za finance in monetarno politiko: 33. nujna seja (18. 10. 2012)	1	248.02686	17.90542
10. izredna seja (15. 6. 1994)	1	3025.12601	218.38829
32. izredna seja (19. 3. 2020)	1	185.01225	13.35631
Odbor za zdravstvo: 25. redna seja (1. 9. 2017)	1	321.80397	23.2315
7. redna seja (6. 7. 2001)	1	574.22593	41.45421
20. redna seja (15. 6. 2016)	1	126.63807	9.14219
Odbor za gospodarstvo: 25. nujna seja (2. 12. 2015)	1	420.51097	30.35731
14. izredna seja (22. 5. 2015)	1	295.51044	21.33333
Odbor za izobraževanje, znanost, šport in mladino: 27. redna seja (10. 5. 2017)	1	331.4919	23.93089
Odbor za notranje zadeve, javno upravo in lokalno samoupravo: 1. nujna seja (27. 8. 2014)	1	548.55267	39.60082
23. izredna seja (10. 7. 1998)	1	448.86753	32.40441
Odbor za zunanjo politiko: 57. nujna seja (11. 6. 2014)	1	1301.02865	93.92317
29. redna seja (26. 4. 2017)	1	247.0757	17.83676
20. izredna seja (13. 6. 2002)	1	366.19483	26.43614
29. redna seja (20. 4. 2017)	1	156.95487	11.3308
Odbor za infrastrukturo, okolje in prostor: 51. nujna seja (28. 3. 2017)	1	599.60402	43.2863
Komisija za nadzor javnih financ: 17. nujna seja (30. 6. 2016)	1	371.987	26.85429
Odbor za zadeve Evropske unije: 36. nujna seja (19. 3. 2008)	1	1365.00315	98.54158
Odbor za infrastrukturo, okolje in prostor: 49. nujna seja (9. 3. 2017)	1	288.09825	20.79824
11. redna seja (22. 9. 2015)	1	245.73011	17.73962
Odbor za delo, družino, socialne zadeve in invalide: 27. redna seja (10. 3. 2021)	1	929.54315	67.10509
Odbor za zunanjo politiko: 35. nujna seja (24. 1. 2022)	1	536.15312	38.70568
22. redna seja (20. 9. 2016)	1	135.48962	9.78119
52. izredna seja (20. 12. 2013)	1	279.2865	20.1621
Odbor za izobraževanje, znanost, šport in mladino: 12. redna seja (29. 6. 2020)	1	728.78687	52.6122
Odbor za gospodarstvo: 41. nujna seja (3. 1. 2017)	1	640.23165	46.21926
Odbor za kulturo šolstvo šport in mladino: 30. redna seja (25. 5. 2011)	1	684.35611	49.40467
Kolegij predsednika Državnega zbora: 82. redna seja (9. 12. 2016)	1	1665.11023	120.20676
Odbor za notranjo politiko javno upravo in pravosodje: 30. redna seja (21. 2. 2007)	1	808.78449	58.38734
Odbor za zadeve Evropske unije: 108. redna seja (2. 12. 2016)	1	452.91826	32.69683
64. izredna seja (14. 5. 2014)	1	220.11492	15.89042
25. redna seja (22. 5. 2014)	1	294.78096	21.28067
22. redna seja (6. 3. 2014)	1	321.92363	23.24014
Odbor za notranje zadeve, javno upravo in lokalno samoupravo: 26. nujna seja (2. 11. 2015)	1	306.19713	22.10482
Odbor za delo, družino, socialne zadeve in invalide: 21. redna seja (5. 4. 2016)	1	237.77081	17.16502
Odbor za zadeve Evropske unije: 5. redna seja (15. 1. 2009)	1	990.6352	71.51541
Odbor za infrastrukturo, okolje in prostor: 34. nujna seja (16. 10. 2020)	1	410.03025	29.60069
Mandatno-volilna komisija: 26. redna seja (13. 10. 2016)	1	465.00561	33.56944
Ustavna komisija: 1. redna seja (25. 2. 2005)	1	610.5184	44.07422
Odbor za obrambo: 40. redna seja (4. 2. 2000)	1	493.57035	35.63157
2. izredna seja (11. 1. 2012)	1	421.38083	30.4201
Odbor za izobraževanje, znanost, šport in mladino: 24. nujna seja (28. 9. 2016)	1	393.07753	28.37684
Komisija za odnose s Slovenci v zamejstvu in po svetu: 6. redna seja (15. 9. 2009)	1	1005.81266	72.61109
Mandatno-volilna komisija: 50. nujna seja (10. 6. 2014)	1	1955.67584	141.18311
36. redna seja (28. 2. 2008)	1	192.87716	13.92409
Odbor za zdravstvo: 35. nujna seja (10. 10. 2017)	1	1478.49845	106.73498
Odbor za finance in monetarno politiko: 61. nujna seja (7. 7. 2016)	1	444.17534	32.06567
Odbor za kmetijstvo, gozdarstvo, prehrano in okolje: 5. nujna seja (12. 4. 2012)	1	924.45622	66.73785
Odbor za delo, družino, socialne zadeve in invalide: 32. nujna seja (27. 5. 2016)	1	630.4985	45.51661
Odbor za izobraževanje, znanost, kulturo, šport in mladino: 5. nujna seja (26. 4. 2012)	1	402.26665	29.04022
19. redna seja (18. 5. 2016)	1	138.5316	10.0008
Skupna seja: 19. nujna seja (23. 1. 2020)	1	412.27572	29.76279
19. redna seja (17. 5. 2016)	1	133.51375	9.63855
Odbor za notranje zadeve: 2. redna seja (24. 5. 2012)	1	1084.30935	78.27789
14. redna seja (17. 12. 2015)	1	178.28068	12.87034
Odbor za izobraževanje, znanost, šport in mladino: 20. redna seja (16. 6. 2021)	1	195.38001	14.10477
Odbor za zdravstvo: 20. nujna seja (12. 5. 2016)	1	580.89625	41.93575
Komisija za nadzor javnih financ: 26. redna seja (4. 2. 2016)	1	458.88995	33.12794
Odbor za infrastrukturo, okolje in prostor: NaN. nujna seja (5. 9. 2018)	1	305.8861	22.08237
18. redna seja (18. 4. 2016)	1	313.29561	22.61727
2. redna seja (22. 12. 2000)	1	4973.80682	359.06643
11. redna seja (25. 9. 2019)	1	238.38049	17.20904
Odbor za obrambo: 33. nujna seja (13. 4. 2016)	1	196.32149	14.17274
Odbor za gospodarstvo: 30. nujna seja (7. 4. 2016)	1	955.44572	68.97503
14. izredna seja (11. 1. 2006)	1	454.10608	32.78259
22. redna seja (5. 3. 2014)	1	154.47122	11.1515
Odbor za zunanjo politiko: 14. redna seja (14. 11. 2012)	1	2237.81131	161.55089
Komisija za odnose s Slovenci v zamejstvu in po svetu: 2. redna seja (23. 1. 2019)	1	382.97075	27.64722
Odbor za notranjo politiko: 17. redna seja (6. 2. 2002)	1	612.5432	44.22039
Komisija za evropske zadeve: 12. redna seja (14. 3. 2002)	1	2176.62665	157.13388
Komisija za vprašanja invalidov: 27. redna seja (5. 2. 1999)	1	742.02121	53.5676
21. redna seja (2. 11. 2006)	1	246.13181	17.76862
Mandatno-volilna komisija: 7. redna seja (14. 4. 2005)	1	775.02669	55.95032
28. redna seja (13. 12. 2021)	1	279.55141	20.18123
39. redna seja (20. 3. 2018)	1	290.28379	20.95601
Odbor za finance in monetarno politiko: 40. nujna seja (2. 12. 2015)	1	420.51097	30.35731
21. redna seja (22. 10. 2010)	1	269.448	19.45185
Odbor za pravosodje: 19. redna seja (1. 10. 2020)	1	778.64261	56.21135
16. redna seja (28. 9. 1999)	1	426.92634	30.82044
13. redna seja (23. 11. 2015)	1	207.94194	15.01163
Odbor za kmetijstvo, gozdarstvo, prehrano in okolje: 8. redna seja (27. 6. 2012)	1	594.15167	42.89268
17. redna seja (25. 9. 2013)	1	230.89832	16.66889
Mandatno-volilna komisija: 14. redna seja (12. 11. 2015)	1	599.16311	43.25447
23. izredna seja (4. 11. 2015)	1	302.71093	21.85315
47. izredna seja (23. 6. 2004)	1	243.14643	17.5531
11. redna seja (29. 9. 2015)	1	269.96262	19.489
11. redna seja (21. 9. 2015)	1	217.16446	15.67742
Odbor za kmetijstvo, gozdarstvo in prehrano: 3. nujna seja (6. 11. 2014)	1	466.71334	33.69272
Odbor za pravosodje: 10. nujna seja (9. 9. 2015)	1	439.71976	31.74402
Odbor za zunanjo politiko: 44. redna seja (7. 2. 2002)	1	1643.77026	118.66619
17. redna seja (26. 9. 2013)	1	454.49347	32.81055
10. redna seja (24. 10. 2005)	1	394.45431	28.47624
Odbor za notranjo politiko: 50. nujna seja (15. 4. 2004)	1	331.33332	23.91944
44. izredna seja (7. 5. 2004)	1	171.17783	12.35758
Odbor za izobraževanje, znanost, šport in mladino: 14. nujna seja (1. 10. 2019)	1	1822.63842	131.57895
6. redna seja (31. 3. 2015)	1	152.23039	10.98974
43. izredna seja (21. 4. 2004)	1	333.34261	24.06449
8. redna seja (2. 10. 2001)	1	524.59958	37.87162
4. redna seja (30. 1. 2019)	1	182.28543	13.15945
Mandatno-volilna komisija: 7. redna seja (19. 3. 2015)	1	647.20142	46.72242
19. redna seja (11. 4. 2005)	1	909.16592	65.63402
Odbor za delo, družino, socialne zadeve in invalide: 39. nujna seja (26. 5. 2020)	1	130.18601	9.39832
38. izredna seja (28. 7. 1999)	1	263.44717	19.01864
Odbor za finance in monetarno politiko: 7. redna seja (11. 3. 2015)	1	419.55573	30.28835
Odbor za finance in monetarno politiko: 19. nujna seja (17. 2. 2015)	1	198.98943	14.36534
Odbor za zdravstvo: 6. nujna seja (13. 2. 2015)	1	521.51847	37.64918
Odbor za mednarodne odnose: 81. redna seja (4. 5. 1999)	1	899.77603	64.95615
27. izredna seja (17. 10. 2019)	1	200.51028	14.47513
Odbor za gospodarstvo: 45. redna seja (4. 6. 2008)	1	629.00972	45.40914
Odbor za finance in monetarno politiko: 15. nujna seja (26. 1. 2015)	1	461.6889	33.33
Odbor za kmetijstvo gozdarstvo in prehrano: 5. redna seja (13. 5. 2009)	1	632.25396	45.64334
16. redna seja (21. 10. 1999)	1	363.63773	26.25154
Komisija za odnose s Slovenci v zamejstvu in po svetu: 1. redna seja (18. 12. 2008)	1	711.93154	51.39538
Odbor za delo, družino, socialne zadeve in invalide: 3. nujna seja (9. 12. 2014)	1	861.17824	62.16972
1. izredna seja (9. 11. 2004)	1	335.34394	24.20897
Odbor za okolje in prostor: 5. redna seja (13. 5. 2009)	1	632.25396	45.64334
Komisija za nadzor javnih financ: 17. nujna seja (17. 6. 2016)	1	994.90426	71.8236
34. redna seja (16. 10. 2017)	1	274.76598	19.83576
Odbor za notranjo politiko javno upravo in pravosodje: 50. nujna seja (16. 4. 2008)	1	770.80029	55.64521
69. izredna seja (12. 6. 2014)	1	254.21274	18.35199
Odbor za zunanjo politiko: 54. redna seja (14. 5. 2014)	1	983.39145	70.99247
19. redna seja (30. 3. 1994)	1	419.30173	30.27001
Odbor za notranjo politiko: 47. redna seja (12. 2. 2004)	1	731.5967	52.81504
Odbor za kulturo šolstvo mladino znanost in šport: 29. redna seja (11. 2. 2004)	1	568.82605	41.06439
39. izredna seja (2. 2. 2004)	1	236.95734	17.1063
31. redna seja (25. 11. 2003)	1	142.56216	10.29177
35. izredna seja (18. 11. 2003)	1	172.3814	12.44447
Odbor za notranjo politiko: 38. nujna seja (15. 10. 2003)	1	569.08311	41.08295
Odbor za infrastrukturo in okolje: 9. nujna seja (27. 11. 2002)	1	13461.66376	971.8173
Odbor za finance in monetarno politiko: 40. redna seja (10. 9. 2003)	1	282.29742	20.37947
Komisija za evropske zadeve: 8. nujna seja (3. 7. 2003)	1	737.59595	53.24814
Pododbor za lastninsko preoblikovanje in privatizacijo: 5. redna seja (10. 6. 2003)	1	883.59074	63.78771
Komisija za peticije: 11. redna seja (14. 6. 2002)	1	634.80372	45.82741
Odbor za zunanjo politiko: 68. redna seja (6. 6. 2003)	1	528.88595	38.18105
26. redna seja (26. 5. 2003)	1	1082.36068	78.13721
Mandatno-volilna komisija: 10. redna seja (8. 5. 2003)	1	2341.45571	169.03313
Odbor za finance in monetarno politiko: 36. redna seja (8. 5. 2003)	1	673.05048	48.5885
Odbor za kulturo šolstvo mladino znanost in šport: 20. redna seja (7. 5. 2003)	1	799.49509	57.71673
24. redna seja (24. 3. 2003)	1	443.40755	32.01024
Pododbor za lastninsko preoblikovanje in privatizacijo: 3. redna seja (13. 2. 2003)	1	656.86893	47.42033
Ustavna komisija: 11. redna seja (16. 1. 2003)	1	853.95796	61.64848
Komisija za evropske zadeve: 19. redna seja (15. 1. 2003)	1	870.15843	62.81802
Odbor za zunanjo politiko: 62. redna seja (15. 1. 2003)	1	870.15843	62.81802
Odbor za notranjo politiko: 28. redna seja (4. 12. 2002)	1	589.72506	42.57312
Odbor za gospodarstvo: 33. redna seja (13. 11. 2002)	1	432.74139	31.24024
18. redna seja (23. 9. 2002)	1	404.1209	29.17408
Odbor za zunanjo politiko: 27. izredna seja (7. 6. 2002)	1	325.5859	23.50452
12. redna seja (13. 4. 1999)	1	449.39177	32.44225
19. izredna seja (15. 5. 2002)	1	367.89684	26.55901
Odbor za finance in monetarno politiko: 24. redna seja (9. 5. 2002)	1	886.87189	64.02459
15. redna seja (17. 4. 2002)	1	612.02898	44.18327
15. redna seja (16. 4. 2002)	1	474.45034	34.25127
Ustavna komisija: 4. redna seja (18. 3. 2002)	1	744.69394	53.76055
Komisija za nadzor proračuna in drugih javnih financ: 14. redna seja (15. 3. 2002)	1	616.44128	44.5018
Komisija za nadzor proračuna in drugih javnih financ: 2. izredna seja (28. 2. 2002)	1	1855.10272	133.92259
Odbor za notranjo politiko: 17. redna seja (7. 2. 2002)	1	441.1341	31.84612
12. redna seja (23. 1. 2002)	1	343.45066	24.79421
Odbor za zunanjo politiko: 38. redna seja (5. 12. 2001)	1	904.88973	65.32532
Komisija za nadzor proračuna in drugih javnih financ: 9. redna seja (9. 10. 2001)	1	344.79283	24.8911
Odbor za kulturo šolstvo mladino znanost in šport: 8. redna seja (13. 9. 2001)	1	480.17374	34.66445
Odbor za obrambo: 6. redna seja (12. 9. 2001)	1	2398.20845	173.13019
Odbor za kulturo šolstvo mladino znanost in šport: 4. izredna seja (19. 6. 2001)	1	2384.58461	172.14667
Odbor za notranjo politiko: 7. redna seja (6. 6. 2001)	1	928.11069	67.00168
5. redna seja (19. 4. 2001)	1	435.90069	31.46831
Komisija za nadzor proračuna in drugih javnih financ: 4. redna seja (17. 4. 2001)	1	787.18259	56.82787
Odbor za zunanjo politiko: 7. izredna seja (22. 3. 2001)	1	701.58286	50.6483
3. redna seja (22. 2. 2001)	1	350.56061	25.30749
2. redna seja (30. 1. 2001)	1	687.61737	49.64011
4. izredna seja (11. 1. 2001)	1	527.11488	38.0532
Odbor za zunanjo politiko: 4. redna seja (10. 1. 2001)	1	1795.23743	129.60083
Odbor za infrastrukturo in okolje: 1. izredna seja (29. 11. 2000)	1	465.47438	33.60328
Odbor za zunanjo politiko: 1. redna seja (27. 11. 2000)	1	1050.75112	75.85527
Odbor za infrastrukturo in okolje: 17. izredna seja (29. 8. 2000)	1	928.17288	67.00616
