method name: freqs			
corpus: trendi			
subcorpus: -			
concordance size: 2980			
"query: Query:([lemma=""""naš""""][]{1,3}[lemma=""""vaš""""])|([lemma=""""vaš""""][]{1,3}[lemma=""""naš""""])within<s/>"			
text.topic	Frequency	Relative density	Relative in text types
2025-02-12	14	975.63186	22.65581
2023-06-13	14	1121.00183	26.03155
2023-10-07	14	1406.02743	32.65032
2022-02-07	11	943.83791	21.9175
2025-10-09	11	896.49981	20.81823
2020-11-03	10	841.70951	19.54591
2021-01-23	10	813.41574	18.88888
2021-08-23	10	936.17089	21.73946
2022-10-12	10	723.92899	16.81085
2025-05-09	10	832.3789	19.32924
2025-06-24	10	764.8325	17.7607
2026-05-22	10	760.87435	17.66878
2020-05-16	10	1199.56894	27.85601
2026-05-01	9	1306.14622	30.33091
2022-02-18	9	672.19739	15.60955
2023-04-18	9	595.83352	13.83626
2023-09-26	9	740.11826	17.18679
2020-05-23	9	1073.09258	24.91901
2019-09-09	9	914.90823	21.24571
2020-08-10	8	868.14853	20.15987
2022-07-14	8	632.10421	14.67852
2024-07-22	8	812.65514	18.87122
2021-10-10	8	778.72509	18.08331
2021-06-30	8	668.66125	15.52744
2022-09-20	8	622.92741	14.46542
2023-03-31	8	607.89607	14.11637
2021-02-18	8	590.65029	13.71589
2022-05-15	8	779.58856	18.10336
2024-12-16	8	542.04116	12.58711
2026-05-26	8	656.9395	15.25524
2025-03-25	8	500.87909	11.63125
2024-02-24	8	988.8023	22.96165
2023-06-30	8	698.74764	16.22609
2025-04-22	8	626.6519	14.55191
2021-02-13	8	754.38476	17.51808
2024-03-21	7	516.01658	11.98277
2021-08-16	7	628.97475	14.60585
2025-06-14	7	780.82163	18.13199
2019-07-08	7	681.33825	15.82182
2019-01-21	7	617.85678	14.34767
2024-02-01	7	500.30113	11.61783
2025-04-18	7	577.16634	13.40277
2021-06-24	7	661.00724	15.3497
2025-05-08	7	504.78412	11.72194
2025-04-25	7	656.44558	15.24377
2021-03-08	7	541.74855	12.58031
2025-04-24	7	607.96258	14.11791
2023-03-01	7	508.58764	11.81026
2020-06-05	7	630.71188	14.64619
2020-05-27	7	569.34047	13.22104
2021-05-19	6	432.83301	10.05111
2021-12-19	6	599.24169	13.9154
2021-12-24	6	557.87978	12.95491
2020-06-24	6	483.80188	11.23469
2021-02-17	6	441.72298	10.25755
2023-05-23	6	430.99696	10.00847
2022-06-10	6	470.52728	10.92643
2023-03-02	6	459.82316	10.67787
2023-03-08	6	436.07058	10.12629
2022-04-15	6	477.13172	11.0798
2025-02-09	6	593.47727	13.78154
2025-02-01	6	603.29934	14.00962
2023-12-20	6	461.21194	10.71012
2023-05-22	6	473.96423	11.00625
2022-01-08	6	632.68077	14.69191
2023-05-26	6	443.16019	10.29092
2022-03-07	6	452.52126	10.5083
2025-05-03	6	702.64637	16.31663
2023-10-26	6	405.60679	9.41887
2023-09-20	6	488.61428	11.34644
2019-10-15	6	594.07904	13.79551
2020-08-29	5	647.19328	15.02892
2025-05-07	5	378.50709	8.78957
2021-07-06	5	594.61004	13.80784
2023-09-07	5	406.16393	9.43181
2021-09-05	5	517.44107	12.01585
2022-04-08	5	363.58176	8.44298
2022-12-21	5	411.84532	9.56374
2021-12-16	5	367.38585	8.53132
2022-03-26	5	497.57937	11.55463
2022-03-24	5	365.29161	8.48269
2022-08-16	5	432.23391	10.0372
2021-12-25	5	636.7791	14.78708
2022-03-18	5	355.58217	8.25722
2020-04-07	5	383.38656	8.90288
2022-09-04	5	540.20645	12.5445
2025-04-28	5	443.96247	10.30955
2019-03-05	5	481.51898	11.18168
2022-11-28	5	474.85009	11.02682
2022-11-12	5	472.65174	10.97577
2022-12-15	5	378.15609	8.78142
2022-12-25	5	674.23423	15.65685
2024-12-23	5	393.68618	9.14205
2023-05-24	5	348.48168	8.09233
2025-05-10	5	594.21129	13.79858
2025-04-21	5	576.23824	13.38122
2024-08-25	5	439.18026	10.1985
2025-06-21	5	583.34153	13.54617
2025-04-26	5	554.59374	12.8786
2022-10-25	5	360.13974	8.36305
