method name: freqs			
corpus: trendi			
subcorpus: -			
concordance size: 2980			
"query: Query:([lemma=""""naš""""][]{1,3}[lemma=""""vaš""""])|([lemma=""""vaš""""][]{1,3}[lemma=""""naš""""])within<s/>"			
text.topic	Frequency	Relative density	Relative in text types
Tedenska napoved - kultura od 9. do 15. 6. Ljubljana	1	16775.69357	389.5598
Predstavitev olimpijcev: Naj se pišejo nove pravljične zgodbe	1	52134.63124	1210.65375
Prebilič dal košarico Hanu in Kučanu, Prerod na parlamentarne volitve s	1	68245.96736	1584.78605
Miro Cerar: Zamenjati bi se morali vodilni politični akterji	1	60060.25858	1394.70014
Napoved - Slovenija, 11. 6. (sreda) (dopolnjeno) Ljubljana	1	15837.88356	367.78227
Pet evropskih destinacij, ki se jim letos raje izognite	1	55351.16376	1285.34704
Burno soočenje Scholza in Merza	1	92410.31202	2145.92275
Urša Križnar je povila drugega otroka	1	344505.64322	8000
Bom po operaciji nosu ohranil/a voh?	1	54579.47453	1267.42712
(PREGLED LETA) Grema na kafe 2024 pod črto: Kaj si je 50 sogovornikov zaželelo za Maribor?	1	10260.47305	238.26543
Ergorest: V Ljubljano prihaja rešitev za dober spanec	1	48879.91533	1135.07378
DL: Porumenela fotografija - Ženska kolesarska vrsta	1	381090.3133	8849.55752
5 svetopisemskih citatov za trenutke, ko se vam zdi, da ste v življenju obtičali na mestu	1	165627.71309	3846.15385
Vasilij Žbogar je pristal, kandidiral bo za župana	1	114226.00903	2652.51989
Anketa: Kakšne vsebine na portalu pogrešate? -- Mladipodjetnik.si	1	224287.52814	5208.33333
50 let Vala 202 s koncertom Dan 202	1	164993.12415	3831.41762
Na Majorki več deset tisoč ljudi protestiralo proti množičnemu turizmu	1	86820.97863	2016.12903
V vodstvu policije na položajih ljudje, ki so bili sami v postopkih	1	124101.45649	2881.84438
Roglič, Tepeš in Hrgota v zgodbi, ki jo lahko spiše le življenje (video) - Ekipa	1	31687.42119	735.83517
Storitev virtualne pisarne - rešitev za težave z najemodajalcem - Data d.o.o.	1	65545.2137	1522.07002
Zapisnik | MLADINA.si	1	44671.3749	1037.3444
Prošnja za nečakinjo - Molitev	1	341771.47145	7936.50794
Če je vaš voh opazno oslabel, se morate pogovoriti z zdravnikom	1	94024.46594	2183.40611
Dnevi komedije 2025 zaključeni: žlahtni komediji Tatovi podob in 3A!, komdijanta: Lina Akif in Iztok Mlakar - Celje.info	1	45811.92064	1063.82979
"Mladi oče podaril ledvico svojemu župniku: ""Hotel sem živeti evangelij dobesedno"""	1	39255.42881	911.57703
Pisni obračun plače - (do) kdaj ga morate prejeti? - Data d.o.o.	1	88244.27337	2049.18033
Ruske podmornice vohunile na morskem dnu	1	59810.0075	1388.88889
Šeško odigral prvo tekmo za United, skrivnost razkrita! Proti Arsenalu v prvih 11? Takole je... - Ekipa	1	94436.85395	2192.98246
"Palestinci predsednici Evropske komisije očitali ""izbris"" Palestincev v čestitki Izraelu"	1	82973.42081	1926.78227
Kilometrina 2023 - kakšni zneski veljajo za 2023? - Data d.o.o.	1	77312.75656	1795.33214
&#34;Marsikoga so v norišnico spravili za nekaj dni, pa je ostal desetletja. Pozabljen od svojcev in prijateljev.&#34; - Vestnik.si	1	52452.13813	1218.0268
Je ona kriva, da je Hugh Jackman zapustil družino?	1	186420.80261	4329.00433
Zakon o pokopu in spominu žrtev prikritih grobišč sprejet	1	28054.20547	651.4658
Severina na koncertu Luki Dončiću posvetila posebno gesto #video	1	155462.83539	3610.1083
Splošni Pogoji uporabe | Zdravje	1	27186.36705	631.31313
V Zdravstveni dom Slovenske Konjice od danes le naročeni in nujni primeri - Novice.si	1	69011.54712	1602.5641
Golob: K obnovi je treba pristopiti strokovno in pametno	1	40625.66547	943.39623
(INTERVJU) Mirjana in Ambrož Duler, Adteh: Kar smo mi naredili v 36 urah, država ne zmore niti v 19 mesecih	1	23327.84691	541.71181
Premierno predvajanje dokumentarnega filma Muzej norosti	1	59315.70992	1377.41047
Kaj se dogaja na veliki petek - Molitev	1	26914.50338	625
Da na izletu ne boste lačni: dve ideji za malico	1	224287.52814	5208.33333
Skoraj dve tretjini podpirata zakon o prostovoljnem končanju življenja | 24ur.com	1	566621.12372	13157.89474
Po 27 letih življenjska prelomnica za astronavtko slovenskih korenin	1	395075.27892	9174.31193
Ž. Turk, Planet Siol: Trk civilizacij v Ljubljani - Časnik	1	41090.84485	954.19847
Pahor: Ne smemo si zatiskati oči pred napetimi razmerami	1	46304.52194	1075.26882
Umrl Marko A. Kovačič | MLADINA.si	1	84107.82305	1953.125
Radio Ognjišče: O domovina - Časnik	1	71533.56379	1661.12957
Glas upokojencev spet protestiral, na evrovolitvah podpirajo Zalo Tomašič iz SDS-a	1	130891.20183	3039.51368
Večer ob dnevu samostojnosti o politični razdvojenosti in mladih (27. 12.)	1	662510.85235	15384.61538
Počilo med Janšo in Toninom, vmešala sta tudi Goloba	1	43410.48932	1008.06452
Unior - Med prvimi z uporabo tri valentnega kroma na ročnem orodju | 24ur.com	1	91429.31083	2123.14225
Pismo izraelske veleposlanice	1	34313.31108	796.81275
"Osovraženi par iz Kamnice tarča groženj: ""Delavec je sam stopil na vrt, poškodoval ograjo in grozil s policijo."""	1	61082.56085	1418.43972
Kaj nam sporoča kamen, ki ga je Jezus odvalil od groba?	1	309807.23311	7194.2446
Ma kaj Kobal že piše izvirne slovenske komedije? Alora pridem več k'sno!	1	65545.2137	1522.07002
Poslovil se je Marko A. Kovačič	1	107927.83309	2506.26566
V letu 2019 nas čaka indijansko poletje	1	81404.92515	1890.35917
Ob tradicionalnem Skoku čez kožo tudi pogled v prihodnost energetike	1	61343.59744	1424.50142
Orban je sanjal o madžarskem Jadranu! To mu sporočajo iz Pelješca - Vestnik.si	1	151631.00494	3521.12676
Na predvečer dneva državnosti ključne slovesnosti v čast 34 let samostojnosti države (zbirno)	1	42301.77348	982.31827
Delo o oživljanju Trnfesta (24. 7.)	1	167561.11052	3891.05058
Anita Ogulin je s solzami očeh priznala kaj je glavni problem za socialno stisko ljudi ...	1	208034.80871	4830.91787
V SLG Celje bodo razglasili nagrajence Dnevov komedije	1	45569.52953	1058.20106
Gal Erbežnik: &#34;Tudi jaz hočem biti zvezda zabave!&#34;	1	312052.21306	7246.37681
Luka videl ameriško nespoštovanje slovenščine - kar je storil, je za aplavz - Ekipa	1	105806.40148	2457.00246
Nič kaj obetavno pri Stojanu Petriču: Delo in Slovenske novice novinar	1	71296.69769	1655.62914
Modna urednica pravi: &#34;Če je ti všeč ASOS, potem moraš poznati tudi TO spletno trgovino&#34;	1	40587.3755	942.50707
Z judom tudi do boljšega sveta	1	76218.06266	1769.9115
Nataša Pirc Musar: Dostojen pokop naj bo naša druga slovenska osamosvojitev	1	19529.79837	453.51474
Hitreje do poslovnih ciljev s panoji Proreklama	1	55068.0376	1278.77238
Fehtarji napisali himno za pohodnike in ljubitelje lepih razgledov | 24ur.com	1	265822.25557	6172.83951
Odkrijte popolno zimsko harmonijo ...	1	143067.12758	3322.25914
Medijske manipulacije na primeru protestov - Časnik	1	69011.54712	1602.5641
Papež Leon XIV. bolj osebno. &#34;Sedla sva kot stara znanca&#34; 🤝	1	93210.4013	2164.50216
"Mladi Ukrajinec Slovencem: ""Cenite mir, tega, da ni vojne, ni krvi, strahu"" - Vestnik.si"	1	22629.11477	525.48607
Želim, da bi moje jaslice izžarevale domačnost, toplino in v ljudeh še dolgo vzbujale lepe spomine	1	463045.21938	10752.68817
Štiri stopnje ljubezni do Boga, kot jih omenja sv. Bernard	1	59644.32881	1385.04155
O desnem in levem polu	1	136275.96646	3164.55696
Pričuje na TikToku: &#34;Rada imam Jezusa, rada govorim o njem&#34;	1	38971.22661	904.97738
Ugovor na dohodnino 2022 - ste prejeli napačen izračun? - Data d.o.o.	1	99223.97558	2304.14747
Prezgodaj za božične oglase? Disney pravi, da ne.	1	193978.40271	4504.5045
Več kot le tekma! Velika gesta Olimpije, tokrat pomaga družini, ki je izgubila vse! Tu so podrobnosti ...	1	77312.75656	1795.33214
(KOMENTAR) Cesarski predvolilni praženec ali navadni šmoren na Celjskem	1	53494.6651	1242.23602
Opozicija: Vlada zatajila pri obvladovanju epidemije. Koalicija: Ukrepi delujejo.	1	10111.10716	234.7969
Ime tedna - Tomato Košir: Tematiko se izkorišča za sprevrženo obračunavanje vaši-naši	1	67286.25844	1562.5
Morala in etika v športu včeraj in danes	1	46304.52194	1075.26882
Celjskega padalca v Indiji nosili vso noč	1	153797.16215	3571.42857
Kostanjev piknik - Dostop.si	1	170210.29803	3952.56917
Sanchez napovedal 615 milijonov evrov vojaške pomoči za Ukrajino (dopolnjeno)	1	101564.16369	2358.49057
Severina brez zadržkov: Dončić na njenem koncertu, kar je naredila Hrvatica, pa odmeva!	1	187231.32784	4347.82609
Kam bova sploh shujšala, ker sva že tako fit in &#34;šlang&#34;?!	1	183247.68256	4255.31915
Prva obletnica osvoboditve Buče. Lukašenko: Rusko jedrsko orožje ščiti Belorusijo.	1	26083.10442	605.69352
Dvojna predvolilna merila dekana Pravne fakultete v Ljubljani dr. Saša Zagorca - Domovina	1	50842.03708	1180.63754
Han: Teh slik ne moreš izbrisati in jih tudi ne želim izbrisati	1	8829.85553	205.04408
Bojan Šrot, Celjska županova lista, podpira gibanje Povežimo Slovenijo - Novice.si	1	265822.25557	6172.83951
Se vam ta lučka v avtomobilu pozimi pogosto prižge? Ne prezrite je	1	95483.82573	2217.2949
Glasujte za miss Slovenskih novic	1	86299.00882	2004.00802
(SPREMLJAMO) Poslanci o vnovični uvedbi dneva spomina na žrtve komunističnega nasilja	1	71891.82872	1669.44908
Kazenska ovadba proti prvemu policistu zaradi oviranja sindikata - Vestnik.si	1	64369.5148	1494.76831
Zahvala ministra za zdravje, takšno je stanje jamarke	1	111274.43257	2583.97933
Najnovejše o vratarju Olimpije Vidovšku: Kaj se dogaja? Ne na Ferske otoke s soigralci, ampak na ...	1	136275.96646	3164.55696
Mušičev pogled na Aleksandrovo cesto in oblike, ki jih na sliki najdejo otroci	1	103517.32068	2403.84615
&#34;Definicija za uspeh? Da delaš kar znaš in te veseli&#34;	1	36126.85017	838.92617
Jezusov nepozabni odgovor na Tomaževo &#34;frajarjenje	1	347283.91454	8064.51613
"(PREJELI SMO) Dr. Janez Zorec, Pariz: ""Danes Slovenska katoliška misija v Franciji in nikdar več"" - Demokracija"	1	61518.86486	1428.57143
"Ingenium Ensemble: ""Glasba je samo medij, ki pa pusti trajnejši vtis pravega sporočila"""	1	16386.30343	380.5175
Poslanci nove koalicije in Resnice v podporo mandatarskemu kandidatu Janši	1	35039.22327	813.66965
Razsvetljenje na prangerju	1	57264.9008	1329.78723
Necenzurirano.si - Ponosni smo, da so ceste tudi zaradi nas bolj varne	1	113923.82382	2645.50265
Šumi v javnem pismu Golobu: To gre preko meje dopustnega	1	303262.00988	7042.25352
Watergate / Kaj je Janša pobral pri Nixonu | MLADINA.si	1	377747.41581	8771.92982
DZ sprejel vladno novelo zakona o RTV Slovenija	1	48658.98916	1129.9435
Ravnanje s prihranki v Evropi: strategija za državljane in prihodnost	1	65545.2137	1522.07002
Tudi vi svojo dragocenost gradite z zunanjostjo?	1	71891.82872	1669.44908
Kaj se dogaja z blokado blokade? | 24ur.com	1	147983.52372	3436.42612
Jezikovni nasveti: Razgaljen tiskarski škrat	1	100146.98931	2325.5814
RAZKRIVAMO VSE: Zakaj se Peterka seli v Turčijo, s kom je sprt, kako je počilo po HČERKINI NESREČI	1	97648.99184	2267.5737
2 SLOVENIJA Obrtnic ni bilo med nagrajenci	1	29155.86012	677.04807
OpenSea: 80 odstotkov NFT-jev je smeti | Monitor	1	137143.96625	3184.71338
Veselite se z nami, ustvarili smo nekaj novega	1	276046.18848	6410.25641
"Naša pisateljica in voditeljica o igri usode: ""Ni ju več. Kot bi trenila z očmi"""	1	110418.47539	2564.10256
Svojci žrtev komunizma pričakujejo zgodovinsko odločitev - Domovina	1	46858.7654	1088.13928
LD;GD 212 - Druže, mi ti se kunemo - Metina lista	1	51083.28043	1186.23962
Slovenija kot butična destinacija: Dobra hrana, pijača, naravne lepote in varnost	1	30519.6353	708.71722
Dve fantastični vožnji Gajserja	1	134153.28786	3115.2648
Konklave: Ob katerih urah bodo kardinali volili novega papeža?	1	72253.70034	1677.85235
Evrovizija 2025: četudi ni bilo nagrade, Klemenovo sporočilo živi	1	55781.35415	1295.33679
Melania Trump pisala škofu Glavanu	1	155462.83539	3610.1083
Poklukar: Dan žensk je tudi danes simbol boja za enakopravnost med spoloma	1	94024.46594	2183.40611
(KOMENTAR) Počitniška svoboda	1	70944.32521	1647.44646
(INTERVJU) Ljudmila Novak: Golob je na podoben način izključujoč in avtokratski kot Janša	1	8999.62495	208.98642
Ljubi svojega bližnjega - Časnik	1	86126.41081	2000
Vsi ZA Pečjakov burek	1	125183.73664	2906.97674
Miha Mazzini: Diktatura povprečnosti	1	48824.49592	1133.78685
Maj 2020 prinaša korenite spremembe	1	73991.76186	1718.21306
Prav posebni oddih v srcu Hrvaške: kjer te gostitelji sprejmejo kot prijatelja	1	52071.59057	1209.18984
Radenci: Občinski svet znova podprl preimenovanje Titove ceste	1	85105.14902	1976.28458
Lep primer kvalitetne partnerske zveze: Visoka kultura odnosa, ljubezen in življenje, ki ga živita Melita Biserkova in Silvo Bezjak	1	144993.95758	3367.00337
Nima smisla zvoniti po toči	1	48440.05107	1124.85939
Kosova bo v Ukrajini Kijevu izrekla tudi podporo pri približevanju EU | 24ur.com	1	188873.70791	4385.96491
Maribor znova ignorira voljo občanov, kje so projekti iz participativnega proračuna?	1	121304.80395	2816.90141
Kaj se je ta teden zgodilo v Ukrajini? - N1	1	51326.82408	1191.89511
Hvaležni smo za papeža, ki je po srcu misijonar	1	95696.01201	2222.22222
Velika nagradna igra: Goran Dragić podarja podpisano košarkarsko žogo!	1	100380.43217	2331.00233
Prvič po odhodu Zahovića se je javil predsednik. Obljubil je poteze in ukrepe.	1	75949.21588	1763.66843
Spreobrnjenja in delitve	1	68462.96566	1589.82512
Nekdanjo zmagovalko poletnega festivala mika nastop na Evroviziji #video	1	70364.71471	1633.98693
Nagradili smo naj pirhe Slovenskih novic! Poglejte zmagovalce (FOTO)	1	76898.58108	1785.71429
Višina minimalne plače - kako se je spreminjala skozi leta? - Data d.o.o.	1	70249.92725	1631.32137
Alternativa za Slovenijo zaradi volitev vložila ustavno pritožbo	1	107122.4015	2487.56219
Janša: Stranka SDS močna, ker &#34;ni gradila na zamerah, ampak sodelovanju&#34;	1	105547.07207	2450.98039
Premier Janša v Varšavi na donatorski konferenci za Ukrajino - Demokracija	1	62050.72825	1440.92219
Dr. Jože Duhovnik: Ministrica Bratušek kar v športnih copatih na gradbišču	1	259416.90002	6024.09639
Rubio na Madžarskem: Predsednik Trump je globoko zavezan uspehu Viktorja Orbana	1	272551.93293	6329.11392
Sp v popoldanski sp - obstaja tudi ta možnost? - Data d.o.o.	1	69122.32007	1605.13644
Hokejska Olimpija: V primerjavi s tistim časom smo zdaj New York - Ekipa	1	39873.33834	925.92593
Prošnja za hčerko - Molitev	1	341771.47145	7936.50794
Izpoved Dalmatinca, ki v Sloveniji ne more molčati	1	5397.74447	125.3447
Svetovni dan mačk je praznik vseh mačk tudi tistih brez doma	1	150570.64826	3496.5035
Kako si Trump plete zanko, s katero se bo obesil	1	13563.2143	314.96063
Te fotografije bodo znano igralko močno zabolele	1	125548.7038	2915.4519
Marija Švajncer: Poteptana ljubezen	1	77036.14562	1788.90877
Zdravstveno stanje poškodovane jamarke nespremenjeno, minister se je zahvalil reševalcem (dopolnjeno)	1	112143.76407	2604.16667
Necenzurirano.si - Video in foto: Junakinje in junaki dobili policijske medalje za hrabrost	1	88425.47311	2053.38809
Že 30 let združujemo Slovence (FOTO)	1	109020.77317	2531.64557
Kvantni skok je tik pred durmi	1	57188.8518	1328.02125
Trump je kapituliral, še preden so se prave bitke sploh začele | MLADINA.si	1	50782.08184	1179.24528
(INTERVJU) Anže Logar: Ne vem, kako Janša spi. Nikoli nisem bil tako blizu	1	8071.82857	187.44142
Mislite, da dobro poznate Jadransko morje? Preizkusite se v našem kvizu	1	265822.25557	6172.83951
Na Sveti Gori jutri maša za partizane in vse žrtve	1	121304.80395	2816.90141
Prejeli smo: Predlog za znižanje cene vinjet - Časnik	1	86126.41081	2000
Nagrajenci 33. Dnevov komedije: Žirija za Tatove podob, kaj pa publika?	1	46655.69383	1083.42362
Naslovnica Objektiva s krvavim klicajem iz Gaze uvrščena med 10 najboljših minulega leta	1	85442.86786	1984.12698
Šarec in Počivalšek sta se spustila v oster besedni dvoboj	1	229059.60321	5319.14894
Predsednica razklane in neuvrščene Republike Slovenije - Časnik	1	24649.80275	572.40985
Lavrov: Rusija bo iz krize izšla močnejša	1	150046.01186	3484.32056
Sheinbaum prejema čestitke za zmago na predsedniških volitvah v Mehiki	1	77731.41769	1805.05415
Komentar / Novoletna zaobljuba | MLADINA.si	1	43106.31171	1001.001
Zakaj bi morali vsak dan pojesti žlico lokalnega medu?	1	86299.00882	2004.00802
Plače v javnem sektorju se bodo zvišale! Za koliko? - Data d.o.o.	1	109297.47564	2538.07107
Ustanovitev sp ali doo - katero obliko izbrati? - Data d.o.o.	1	60823.73644	1412.42938
Takšen nasvet je Zdravko Počivalšek dal Marjanu Šarcu	1	220836.95078	5128.20513
Na Hrvaškem aretirali poslanko Socialdemokratske stranke, ki je slovenskega rodu	1	144507.40068	3355.7047
#intervju Jan Krmelj, pesnik in režiser: Pisanje je zelo egoističen proces	1	41051.67341	953.28885
[VPRAŠAJ ŽUPNIKA] Gredo res vsi papeži po smrti v nebesa?	1	314329.96644	7299.27007
Nikoli več se ne smejo ponoviti grozote Hitlerjevega nacizma in Mussolinijevega fašizma	1	24978.65743	580.0464
Tudi Domen Prevc bere Najst	1	86996.37455	2020.20202
Papež v Modri mošeji ni molil, danes na obisk v Libanon	1	135846.07383	3154.57413
Medvedčukova soproga prosi: Zamenjajte mojega moža za ujete Britance	1	410125.76574	9523.80952
Dr. Jože Možina: Čakam, da bo prišel nov dan za gospoda Mukija - Domovina	1	13137.03643	305.06406
V Varšavi ob obletnici neodvisnosti znova belo-rdeči shod skrajne desnice	1	112143.76407	2604.16667
[FOTO] Blagoslov motoristov in motorjev v Mirni Peči: Kar 16 tisoč jih je bilo!	1	45473.28976	1055.96621
Rehabilitacija po zlomu vretenca - kaj pričakovati?	1	50722.26785	1177.8563
Poslovni partner - kako poskrbeti, da izberete pravega? - Data d.o.o.	1	62501.02381	1451.37881
Ljudmila Novak: Obžalujem, da je politika takšna, kakršna je	1	13357.07364	310.1737
Tonin o Janši: Strasten je, verjetno se ne bo spremenil	1	97648.99184	2267.5737
Shod nasprotnikov in zagovornikov pravice do splava v središču Ljubljane	1	118305.50935	2747.25275
Ahilova peta slovenskega gospodarstva ni izvoz, ampak politiki, ki v življenju nikoli niste delali - Časnik	1	30347.57252	704.72163
Glavar avstrijske Štajerske bi za himno pesem, ki opeva ozemlje Slovenije | 24ur.com	1	81098.31526	1883.23917
Kaj je sedisvakanca in kdo je kamerleng?	1	139363.12428	3236.24595
Sprejet zakon o spominu in pokopu žrtev komunizma - korak v smeri človečnosti - Domovina	1	46254.78561	1074.11386
VSE STA POVEDALA! Delita si klub, slovensko reprezentanco IN SPALNICO - ljubezenska izpoved, KI ODMEVA!	1	75285.32413	1748.25175
Koliko resnice je v tem, da imamo dve pravni državi?	1	44440.87245	1031.99174
Kolumna Bojana Budje: Živeli droni!	1	95909.14344	2227.17149
Kraljica Elizabeta II. bo dobila francoskega konja	1	142593.39537	3311.25828
Malar nam polepša življenje	1	149525.01876	3472.22222
Pogoste dejavnosti s.p. - katere dejavnosti največkrat registrirate? - Data d.o.o.	1	66972.32567	1555.20995
Logaj ob koncu šolskega leta: Trud in volja sta edina zaveznika pri premagovanju ovir	1	58909.99371	1367.98906
Slikar, ki je živel za narod - Demokracija	1	40096.09442	931.0987
"""Luna vaša, zlata naša"" #ndd"	1	43063.2054	1000
Rubio: Trump madžarskemu premierju želi uspeh	1	80192.18883	1862.19739
(KOMENTAR) Igre (ne)moči	1	63702.96657	1479.28994
Marijan Pojbič: &#34;Ta vlada dela izjemno učinkovito in dobro!&#34; | Nova24TV	1	28998.79152	673.40067
Začetniki in idealisti še verjamejo v preobrat, izkušeni mački že iščejo pot iz potapljajoče se ladje - Domovina	1	41647.20058	967.11799
Partizani in gozd	1	9692.37124	225.07315
Sejem akademske knjige | MLADINA.si	1	86126.41081	2000
Celjani s kar tremi odmevnimi okrepitvami?! Na seznamu dolgoletni golgeter Slovenije, zvezdnik prve lige in ... !	1	163118.20228	3787.87879
Nepreslišano: Denis Mancevič, politolog, nekdanji diplomat	1	198447.95116	4608.29493
Janez naj gre za Luno	1	301141.29652	6993.00699
"Vladna novela zakona o RTVS sprejeta, Grims besni, da hočejo nacionalko spremeniti v ""ultra levičarsko trobilo"" | Revija Reporter"	1	57188.8518	1328.02125
#video #foto Španski otok Majorka zajeli protesti, ljudem je dovolj množičnega turizma	1	198447.95116	4608.29493
Kdo bo vandalom postavil meje?	1	90850.64431	2109.70464
Pirc Musar: Imam občutek, da je premier zaradi moči svoje stranke malo pozabil na pomen dialoga	1	6190.80009	143.76078
Deseterica republikanski senatorjev za pogajanja o Bidnovem predlogu pomoči zaradi pandemije covida-19	1	79894.62969	1855.28757
Janša po obisku v Kijevu že na Poljskem - N1	1	143067.12758	3322.25914
Slovenci in Hrvaška še naprej z roko v roki v turizmu	1	27908.75269	648.08814
SVET-WORLD Orban: Vaš boj, je tudi naš boj Budimpešta (MOREL/FoNet) - Madžarski premier Viktor Orbán je danes dejal, da se &#34;tuje sile poskušajo vmešavati v življenja Srbov&#34;, in dodal, da se nekaj podobnega dogaja tudi v njegovi ...	1	318986.70669	7407.40741
"Iz Maribora so ga ""spodili"", zdaj piše zgodovino na Poljskem!"	1	29354.60491	681.66326
Novi izzivalci statusa quo	1	81559.10114	1893.93939
Šef KPK Golobu: Ko vaš odvetnik govori o našem delu, govori v vašem imenu | 24ur.com	1	164993.12415	3831.41762
Incident na protestu upokojencev v Ljubljani: Posredovala je policija	1	73612.31693	1709.40171
Danes v središču Ljubljane tako zagovorniki kot nasprotniki pravice do splava (dopolnjeno)	1	65346.29044	1517.45068
Pogum in demokratična zavest sta se začela prebujati v pismih bralcev	1	174344.96114	4048.583
Svetloba po 477 dneh bolečine: upanje ni usahnilo, a premirje je trhlo	1	43674.65051	1014.19878
Slatinski gasilci obnovili tla v svoji garaži - Kozjansko.info	1	336431.29221	7812.5
Scholz in Merz z burnim soočenjem dva tedna pred volitvami Berlin	1	77451.80828	1798.56115
Zahvala za molitev za umrlega in prošnja za njegovo družino - Molitev	1	341771.47145	7936.50794
Nepogrešljivi kosi oblačil, ki nudijo udobje in eleganco	1	65148.57096	1512.8593
Filozofija, s katero svoja podjetja ustvarjajo najboljši - Domovina	1	46304.52194	1075.26882
Miha Mazzini: Rogata histerija	1	24357.01663	565.61086
Predsednik SDS Janez Janša: SDS je politična sila osamosvojitve, politična sila sedanjosti in politična moč slovenske prihodnosti!	1	71652.58802	1663.89351
Nekdanja budistka in nova pot vere: &#34;Verujem, da mi je Bog dal priložnost za nov začetek	1	110987.64279	2577.31959
Na odboru DZ za kulturo polemično o aktualnem dogajanju na RTVS	1	49611.98779	1152.07373
V ozadju poslov z zaščitno opremo agencija Pristop: hkrati delala za državo in ponudnika Geneplanet	1	22581.6494	524.38385
Si res zaslužimo državo? - Časnik	1	34450.56432	800
Nekdanji agent Udbe: &#34;Da bi se obrnil proti Janši, mi je Kučanov svetovalec za nacionalno varnost Zdenko Roter ponujal dolgoročno varnost in varen prehod čez Slovenijo na Zahod&#34; | Nova24TV	1	9725.20447	225.83559
15 skrivnosti in nasvetov kuharskih mojstrov: Darja Končarevič, Bazilika	1	34042.05961	790.51383
Drage tune, sledite puščicam, prosim!	1	52644.50538	1222.49389
(ŽIVLJENJE V ČASU KORONAVIRUSA) Premagajmo svoj egoizem	1	53829.00675	1250
Dušan Jakomin, vse najboljše! - Časnik	1	86472.30001	2008.03213
Gasilci z zahvalami in prošnjami na Brezjah: &#34;Romanje nas ne deli, ampak povezuje&#34;🚒 🙏	1	112143.76407	2604.16667
Umrl večmedijski in interdisciplinarni umetnik Marko A. Kovačič	1	65645.13019	1524.39024
Tori Spelling se ločuje in je &#34;pripravljena na nov začetek&#34; - N1	1	124460.13122	2890.17341
V Ukrajini se zgražajo zaradi napovedi, kaj bo uspelo Rusiji	1	84770.08938	1968.50394
VIDEO: 15 skrivnosti in nasvetov Janeza Bratovža	1	42053.91153	976.5625
Trenutek, ko je papež Frančišek ob omembi Slovenije zažarel	1	63608.87061	1477.10487
Izpetost antijanšizma kot mobilizacijskega okvira v Sloveniji	1	53694.76983	1246.88279
(NA ZAHODU NIČ NOVEGA) Kajpaonizem	1	166911.64885	3875.96899
Predsednica se je veteranom in svojcem padlih zahvalila za junaštvo	1	77591.36109	1801.8018
Nacionalisti, slabi zavezniki	1	40208.40841	933.70682
ŠCKR Na Srednji tehniški šoli pripravljeni na izzive	1	229059.60321	5319.14894
V naši družbi nikoli niste Sami doma! | 24ur.com	1	163118.20228	3787.87879
"Poslanka Svobode Janšo označila za ""črnuharja"" in se zavila v molk. Molči tudi Svoboda"	1	294953.46166	6849.31507
Vrnitev živega mrtveca | MLADINA.si	1	10070.90865	233.86342
Kaj najraje jedo otroci kuharskega mojstra in sodnika v šovu MasterChef? - Svet24.si	1	60397.20253	1402.52454
Poglobljena znanja za hitri novi svet	1	34450.56432	800
Hernija diskusa - odpravite jo s fizioterapijo!	1	42385.04469	984.25197
Mulan	1	29925.78555	694.92703
Janševa interpelacija zoper vlado in ulična podpora	1	203128.32737	4716.98113
Velika noč med Inuti, kot sta jo doživela Timotej in Jaka	1	57341.15233	1331.55792
Koronavirusna kriza nogometa ne bo spremenila	1	7065.33313	164.06891
(SATIRA) Agencija za pretepe	1	52134.63124	1210.65375
Osrednja proslava ob dnevu državnosti s slavnostno govornico Natašo Pirc Musar	1	31757.52611	737.46313
Slovenska zelena politika poganja voznike k sosedom na Hrvaško | Nova24TV	1	83455.82442	1937.9845
Inflacija	1	28727.95557	667.11141
Svet24.si - Porast globalne revščine, razbijanje mitov, preizkus socialne države	1	47115.10438	1094.0919
(POGLED) Prof. dr. Elko Borko praznuje 90 let: Česar se veliki človek dotakne, cveti več generacij	1	23937.3015	555.86437
V Babičih dočakali prenovo gasilskega doma	1	93009.08294	2159.82721
Zoran Predin: Če nimaš sanj, je s teboj nekaj narobe	1	18055.85132	419.28721
Slovenska demokratska mladina ima novega predsednika – Žana Mahniča je nasledil Dominik Štrakl	1	50015.33729	1161.44019
Tudi Evropa omogočila voždu državo po lastni meri	1	768985.81076	17857.14286
Ministrica Vrečko za STA: Ne pristajam na kulturni boj	1	17591.17868	408.49673
Zunanji strokovni nadzor po smrti dveh otrok s prirojeno srčno napako ni pokazal nepravilnosti	1	49899.42689	1158.74855
Ministrica Vrečko za STA: Ne pristajam na kulturni boj (intervju)pogovarjala se je Alenka Vesenjak Ljubljana	1	18216.24594	423.01184
(KOLUMNA) Sladoled in umazani špageti - Vestnik.si	1	75549.48316	1754.38596
Odpira se Vilinsko mesto, ki se prvič širi izven centra mesta	1	64562.52684	1499.25037
Vlada žuga Hrvaški z blokado ob vstopu v schengen, pa se s tem strinjajo vsi?	1	20673.64638	480.07681
Prihranek pri poštnini povzročil nejevoljo med upokojenci	1	54648.73782	1269.03553
&#34;Ko sem zvečer zaspala v solzah, me je najbolj pomirjala vera&#34;	1	21202.95687	492.36829
